family,n,m,k_colors,average_degree,realized_average_degree,trial,seed,recolor_steps,sweeps,node_evaluations,activation_count,initial_potential,final_potential,converged,edge_bound,degree_square_sum
er,800,1589,2,4.0,3.9725,6,3086624941,241,0,5626,5626,773,364,True,1589,15558
er,800,1586,2,4.0,3.965,7,3118381398,259,0,4375,4375,776,341,True,1586,15754
er,800,1532,2,4.0,3.83,8,1056218632,264,0,5305,5305,777,344,True,1532,14600
er,800,1634,2,4.0,4.085,9,394793117,281,0,5180,5180,844,382,True,1634,16562
er,800,1491,2,4.0,3.7275,10,4266359515,227,0,4471,4471,727,356,True,1491,14042
er,800,1590,2,4.0,3.975,11,293324203,268,0,5945,5945,815,359,True,1590,16010
er,800,1544,2,4.0,3.86,12,2196122310,232,0,4894,4894,760,364,True,1544,14832
er,800,1520,2,4.0,3.8,13,354086929,241,0,6798,6798,753,345,True,1520,14804
er,800,1563,2,4.0,3.9075,14,3426215952,254,0,5158,5158,794,356,True,1563,15332
er,800,1606,2,4.0,4.015,15,1505732280,237,0,5271,5271,792,386,True,1606,16142
er,800,1675,2,4.0,4.1875,16,1505717677,256,0,6524,6524,814,374,True,1675,17424
er,800,1653,2,4.0,4.1325,17,2442648668,247,0,5587,5587,839,396,True,1653,16894
er,800,1631,2,4.0,4.0775,18,135730217,270,0,5618,5618,821,371,True,1631,16544
er,800,1595,2,4.0,3.9875,19,4068612003,229,0,4957,4957,790,378,True,1595,15700
er,800,1571,2,4.0,3.9275,20,455853976,248,0,5587,5587,755,353,True,1571,15574
er,800,1645,2,4.0,4.1125,21,1470740122,254,0,4409,4409,808,377,True,1645,16768
er,800,1642,2,4.0,4.105,22,221644234,245,0,4260,4260,812,379,True,1642,16550
er,800,1609,2,4.0,4.0225,23,141188725,265,0,5313,5313,797,357,True,1609,15952
er,800,1603,2,4.0,4.0075,24,107142464,251,0,6616,6616,783,378,True,1603,15986
er,800,1516,2,4.0,3.79,25,1695087099,246,0,4844,4844,754,346,True,1516,14428
er,800,1628,2,4.0,4.07,26,3658895622,233,0,5555,5555,778,375,True,1628,16444
er,800,1608,2,4.0,4.02,27,2921106753,266,0,6675,6675,808,369,True,1608,16058
er,800,1524,2,4.0,3.81,28,2360589616,290,0,6698,6698,794,327,True,1524,14378
er,800,1608,2,4.0,4.02,29,26431740,241,0,5954,5954,801,359,True,1608,16262
er,800,1635,2,4.0,4.0875,30,1378216317,245,0,4087,4087,793,388,True,1635,16498
er,800,1560,2,4.0,3.9,31,1261174020,232,0,4340,4340,753,369,True,1560,15418
er,800,1605,2,4.0,4.0125,32,4035059918,260,0,8713,8713,793,369,True,1605,16314
er,800,1593,2,4.0,3.9825,33,1910103327,240,0,6676,6676,774,373,True,1593,15876
er,800,1659,2,4.0,4.1475,34,996428743,254,0,4929,4929,833,377,True,1659,17128
er,800,1527,2,4.0,3.8175,35,2249375065,251,0,5402,5402,778,342,True,1527,14712
er,800,1649,2,4.0,4.1225,36,3789811316,274,0,7157,7157,829,378,True,1649,16654
er,800,1589,2,4.0,3.9725,37,3016186918,269,0,6143,6143,798,348,True,1589,15542
er,800,1549,2,4.0,3.8725,38,341022714,246,0,5405,5405,800,379,True,1549,15524
er,800,1572,2,4.0,3.93,39,800110464,234,0,6186,6186,748,350,True,1572,15570
