family,n,m,k_colors,average_degree,realized_average_degree,trial,seed,recolor_steps,sweeps,node_evaluations,activation_count,initial_potential,final_potential,converged,edge_bound,degree_square_sum,max_degree,threshold_h,weight_w,excess_x0,parity_epsilon,threshold_activation_count,relaxation_bound,high_palette
ba,100,196,2,4.0,3.92,12,283536169,16,0,200,200,89,53,True,196,2648,21,89,11,0,0,0,0,False
ba,100,196,2,4.0,3.92,13,1093301167,27,0,310,310,93,45,True,196,3656,35,91,18,2,0,2,1350,False
ba,100,196,2,4.0,3.92,14,3270413823,22,0,216,216,92,52,True,196,3022,27,90,14,2,1,1,1866.66666667,False
ba,100,196,2,4.0,3.92,15,1404411457,29,0,515,515,104,46,True,196,2610,21,89,11,15,1,23,2569.45989774,False
ba,100,196,2,4.0,3.92,16,878256810,28,0,983,983,106,48,True,196,2828,21,90,11,16,0,16,1859.40094628,False
ba,100,196,2,4.0,3.92,17,978446212,22,0,227,227,99,52,True,196,2940,24,90,12,9,0,16,1697.38095238,False
ba,100,196,2,4.0,3.92,18,2369439950,28,0,362,362,100,46,True,196,3018,28,89,14,11,1,8,3053.22440889,False
ba,100,196,2,4.0,3.92,19,1368174590,30,0,436,436,92,44,True,196,2636,20,89,10,3,0,2,916.666666667,False
ba,100,196,2,4.0,3.92,20,684401762,27,0,510,510,107,52,True,196,3042,26,92,13,15,1,23,3036.6344246,False
ba,100,196,2,4.0,3.92,21,212520015,27,0,615,615,90,46,True,196,3110,26,90,13,0,1,0,0,False
ba,100,196,2,4.0,3.92,22,3526829749,27,0,367,367,106,51,True,196,2678,22,91,11,15,1,19,2569.45989774,False
ba,100,196,2,4.0,3.92,23,3951346562,32,0,504,504,108,47,True,196,2790,18,91,9,17,1,23,2158.59035621,False
ba,100,196,2,4.0,3.92,24,342952829,22,0,197,197,93,47,True,196,2824,22,91,11,2,0,4,825,False
ba,100,196,2,4.0,3.92,25,236798297,23,0,487,487,97,43,True,196,2946,25,90,13,7,1,7,2541.67388167,False
ba,100,196,2,4.0,3.92,26,669313313,27,0,296,296,97,50,True,196,3004,27,90,14,7,0,7,1815,False
