family,n,k_colors,average_degree,runs,mean_tau_h,mean_b_h,mean_w,mean_delta,mean_degree_variance,mean_degree_cv2,certificate_looseness,cell_tau_over_b
er,800,4,8.0,40,136.475,36187.6653814775,14.3,18.525,7.901921718749999,0.1229931620903163,265.1596657371497,0.0037713126437234645
er,800,4,12.0,40,104.975,44288.7731176175,18.15,23.7,11.827837031250004,0.08260974183979061,421.8982911894975,0.002370239512420413
er,800,4,16.0,40,90.925,57321.211743165004,22.825,30.025,15.5395584375,0.0603985899914787,630.4230051489141,0.001586236529810309
er,800,5,4.0,40,325.075,25146.1620499475,9.6,11.6,3.9520050000000007,0.2481969593309144,77.35495516403138,0.012927420071274006
er,800,5,8.0,40,152.5,37990.4104664575,15.2,18.4,7.828594218749998,0.12275268892869688,249.1174456816885,0.004014170895432818
er,800,5,12.0,40,116.225,50595.333180835,19.725,24.025,11.714992812499997,0.08191341763063831,435.32229022013337,0.0022971486240558024
er,800,5,16.0,40,92.15,59605.08541143,24.05,29.625,15.71262328125,0.06129098418751587,646.8267543291372,0.0015460090253025477
er,800,8,4.0,40,937.875,27503.827798095,10.575,11.575,3.9627518749999995,0.25137387304618175,29.32568604355058,0.03409979901288358
er,800,8,8.0,40,247.15,41518.800778252495,15.9,17.9,7.89278671875,0.1240818021291679,167.99029244690468,0.0059527249190072205
er,800,8,12.0,40,149.475,56826.767681135,21.825,24.55,11.81696953125,0.08213142557316981,380.1757329395217,0.0026303625227943727
er,800,8,16.0,40,127.775,68841.94390642,26.6,29.8,15.552939218749993,0.060996861664031246,538.7747517622382,0.001856063218866835
ws,100,2,4.0,40,9.575,393.750043482975,3.05,5.9,0.38450000000000023,0.024031250000000014,41.12271994600261,0.024317457632011676
ws,100,2,8.0,40,13.6,786.626694192125,5.25,10.25,0.7539999999999992,0.011781249999999988,57.84019810236214,0.01728901409068931
ws,100,2,12.0,40,9.375,1188.8797281820748,7.75,14.875,1.079999999999999,0.007499999999999993,126.81383767275464,0.007885574779153973
ws,100,2,16.0,40,9.15,1536.855942860425,10.025,19.425,1.450500000000001,0.005666015625000004,167.96239812682242,0.005953713516551102
ws,100,3,4.0,40,21.725,798.768832962,4.15,5.975,0.36400000000000016,0.02275000000000001,36.76726503852704,0.027198106765682392
ws,100,3,8.0,40,21.975,1614.7801896380001,7.35,10.4,0.7335000000000005,0.011460937500000008,73.48260248637088,0.01360866335926894
ws,100,3,12.0,40,13.25,1840.0672360305002,10.175,15.0,1.1525000000000005,0.008003472222222226,138.87299894569813,0.0072008238289072895
ws,100,3,16.0,40,11.35,2463.670235355,13.275,19.275,1.4775000000000005,0.005771484375000002,217.06345685947136,0.004606947730715484
ws,100,4,4.0,40,11.0,720.97296817725,4.875,5.875,0.3825000000000002,0.02390625000000001,65.54299710702273,0.015257160095488723
ws,100,4,8.0,40,10.575,1397.513582387825,8.475,10.525,0.7164999999999992,0.011195312499999988,132.15258462296217,0.007567010534474594
ws,100,4,12.0,40,12.275,2066.9729528237503,11.675,14.8,1.1074999999999995,0.00769097222222222,168.38883526059067,0.005938636005483659
ws,100,4,16.0,40,10.2,2632.0539590495,14.9,19.225,1.5390000000000001,0.006011718750000001,258.0445057891667,0.003875300491059641
ws,100,5,4.0,40,82.825,1172.10420901045,4.95,5.95,0.3729999999999999,0.023312499999999993,14.151575116335042,0.0706635121376495
